                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.93187,                0.49601,                0.88138,                0.45912,                0.44276,                0.36671,                0.21479,                 1.3715,                 1.4014,                 1.0683,              0.0002765,              0.0002765,              0.0002765
                     61,                0.93129,                 0.4923,                 0.8801,                0.40398,                0.44743,                0.34668,                0.19937,                 1.3919,                 1.4778,                 1.0858,                0.00026,                0.00026,                0.00026
                     62,                0.92774,                0.48899,                0.87705,                0.40037,                0.50688,                0.39926,                0.21681,                 1.3833,                  1.495,                 1.0694,              0.0002435,              0.0002435,              0.0002435
                     63,                0.92413,                0.48708,                0.87685,                0.56276,                0.40726,                0.40714,                0.22729,                 1.3666,                 1.3399,                 1.0717,               0.000227,               0.000227,               0.000227
                     64,                0.92361,                0.48306,                0.87909,                0.50734,                0.47032,                0.44463,                0.25154,                 1.3767,                 1.3657,                 1.0653,              0.0002105,              0.0002105,              0.0002105
                     65,                0.91255,                0.47711,                0.87454,                0.44688,                0.40928,                0.41686,                0.23431,                 1.3777,                 1.4365,                 1.0727,               0.000194,               0.000194,               0.000194
                     66,                 0.9331,                0.47784,                0.87548,                0.36425,                 0.5653,                0.41097,                0.23141,                 1.4026,                 1.3748,                 1.0985,              0.0001775,              0.0001775,              0.0001775
                     67,                0.90039,                0.45753,                0.86728,                0.34666,                 0.4507,                0.31768,                 0.1874,                 1.3948,                 1.4544,                 1.0867,               0.000161,               0.000161,               0.000161
                     68,                0.90594,                0.45608,                0.87182,                0.40922,                0.40751,                0.32127,                0.19536,                 1.3774,                 1.4671,                 1.0809,              0.0001445,              0.0001445,              0.0001445
                     69,                0.89435,                0.45211,                0.86424,                0.46654,                0.33408,                 0.3475,                0.19374,                 1.3897,                 1.5111,                 1.0868,               0.000128,               0.000128,               0.000128
                     70,                0.88546,                0.45626,                0.86393,                0.41757,                0.42263,                0.34049,                0.19641,                 1.3867,                 1.4434,                 1.0763,              0.0001115,              0.0001115,              0.0001115
                     71,                0.87469,                0.44258,                0.86409,                0.44791,                 0.4097,                0.32754,                0.19103,                 1.3898,                 1.5151,                 1.0767,                9.5e-05,                9.5e-05,                9.5e-05
                     72,                0.86357,                0.43624,                0.86059,                0.38354,                 0.3801,                0.31876,                 0.1871,                 1.3839,                 1.4912,                 1.0724,               7.85e-05,               7.85e-05,               7.85e-05
                     73,                 0.8658,                0.43675,                0.86061,                0.45265,                0.37455,                0.34741,                0.20421,                 1.4106,                 1.4886,                 1.0922,                6.2e-05,                6.2e-05,                6.2e-05
                     74,                0.85366,                0.43285,                0.86006,                0.40098,                0.40221,                0.33545,                0.19664,                 1.3969,                   1.49,                 1.0788,               4.55e-05,               4.55e-05,               4.55e-05
                     75,                0.84186,                0.42717,                0.85725,                0.36077,                0.38813,                0.33332,                0.19635,                 1.3966,                 1.5148,                 1.0792,                2.9e-05,                2.9e-05,                2.9e-05
