                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.7805,                0.43484,                0.93214,                0.93821,                0.83607,                0.93728,                0.65762,                 1.0358,                0.54265,                    1.1,               0.000768,               0.000768,               0.000768
                     58,                0.78513,                  0.428,                0.91943,                0.88594,                0.84426,                0.92354,                0.65069,                 1.0748,                0.56179,                 1.1229,               0.000746,               0.000746,               0.000746
                     59,                0.78653,                0.43359,                0.93086,                0.92486,                0.85755,                0.93477,                0.64346,                   1.06,                0.52914,                 1.1112,               0.000724,               0.000724,               0.000724
                     60,                0.79005,                0.42467,                 0.9221,                0.93131,                0.87705,                0.92902,                0.64815,                 1.0387,                0.53231,                 1.0958,               0.000702,               0.000702,               0.000702
                     61,                0.76865,                0.41481,                0.92352,                 0.9272,                0.88737,                0.93614,                0.65135,                   1.06,                0.53778,                 1.0896,                0.00068,                0.00068,                0.00068
                     62,                 0.7684,                0.41429,                0.91678,                0.90723,                0.88173,                0.93755,                0.67436,                 1.0276,                0.52399,                 1.0882,               0.000658,               0.000658,               0.000658
                     63,                0.73701,                 0.4026,                0.92037,                0.87213,                0.88934,                0.93774,                0.67784,                 1.0206,                0.51214,                 1.0791,               0.000636,               0.000636,               0.000636
                     64,                 0.7354,                0.40563,                0.92304,                0.87762,                0.88175,                0.93054,                0.66197,                 1.0396,                0.56525,                 1.0806,               0.000614,               0.000614,               0.000614
                     65,                0.74297,                0.41273,                0.91648,                 0.9038,                 0.8471,                0.92721,                0.65275,                 1.0318,                0.55588,                 1.0809,               0.000592,               0.000592,               0.000592
                     66,                0.74065,                0.41713,                0.92513,                0.88497,                0.88283,                0.92949,                0.63799,                 1.0546,                 0.5846,                 1.1038,                0.00057,                0.00057,                0.00057
                     67,                0.74566,                0.41317,                0.90993,                0.88753,                0.87321,                 0.9285,                0.64513,                 1.0823,                0.56421,                 1.1185,               0.000548,               0.000548,               0.000548
                     68,                0.75183,                0.41648,                0.91936,                0.87948,                0.90984,                0.94005,                0.66497,                 1.0727,                0.52489,                 1.1157,               0.000526,               0.000526,               0.000526
                     69,                 0.7489,                0.40921,                0.90647,                0.88656,                0.90984,                0.94272,                0.66095,                  1.068,                0.53793,                 1.1151,               0.000504,               0.000504,               0.000504
                     70,                0.74905,                0.40414,                0.90846,                0.91914,                0.88509,                0.94099,                0.66181,                  1.056,                0.53391,                 1.0955,               0.000482,               0.000482,               0.000482
                     71,                0.70444,                0.38181,                0.90344,                0.92226,                0.88525,                0.94748,                0.66841,                  1.042,                0.52388,                 1.0932,                0.00046,                0.00046,                0.00046
